Time (sec),TCP Traffic (Mbit/s)
0,0.0
1,0.0
2,0.0
3,780.566624
4,912.41988
5,931.856312
6,931.453216
7,931.871016
8,930.29568
9,917.09736
10,929.24508
11,930.363848
12,929.822176
13,930.183488
14,930.338032
15,930.525768
16,930.331968
17,930.3316
18,929.315544
19,930.404416
20,930.301208
21,930.172328
22,930.248472
23,930.29012
24,930.017944
25,930.209888
26,930.395992
27,930.074048
28,930.590192
29,930.236184
30,930.452952
31,925.608352
32,930.430448
33,930.556192
34,930.046192
35,930.227616
36,930.147744
37,930.459984
38,930.672616
39,930.201512
40,930.485088
41,930.25792
42,930.406248
43,930.4126
44,930.295632
45,930.5288
46,929.34528
47,930.606184
48,930.293504
49,930.456472
50,930.258832
51,930.103488
52,930.263352
53,930.108272
54,930.592672
55,930.155736
56,930.37112
57,930.222264
58,930.466768
59,930.555272
60,930.209568
61,930.44444
62,930.361624
63,930.263696
64,929.950352
65,930.639456
66,930.117576
67,930.35708
68,930.335008
69,930.368496
70,929.897984
71,930.275136
72,930.517648
73,929.65636
74,930.593576
75,930.170256
76,929.681976
77,930.49896
78,930.254576
79,930.01164
80,930.58176
81,930.21484
82,930.499624
83,929.977352
84,930.261336
85,930.540448
86,930.278792
87,930.352272
88,930.185072
89,929.590424
90,930.531144
91,930.161272
92,930.46616
93,929.215248
94,930.475264
95,929.750056
96,930.280256
97,930.192464
98,299.614888
